Time	Channel A	Channel B
(s)	(V)	(V)

-0.09506861	4.75147600	0.96087600
-0.09493527	4.75147600	0.96087600
-0.09480194	4.75147600	0.96087600
-0.09466860	4.75147600	0.96087600
-0.09453527	4.75147600	0.96087600
-0.09440193	4.75147600	0.87352360
-0.09426859	4.75147600	0.96087600
-0.09413526	4.75147600	0.96087600
-0.09400192	4.75147600	0.96087600
-0.09386859	4.75147600	0.96087600
-0.09373525	4.75147600	0.96087600
-0.09360191	4.75147600	0.87352360
-0.09346858	4.75147600	0.87352360
-0.09333524	4.75147600	0.87352360
-0.09320191	4.75147600	0.87352360
-0.09306857	4.75147600	0.87352360
-0.09293523	4.75147600	0.87352360
-0.09280190	4.75147600	0.78617130
-0.09266856	4.75147600	0.78617130
-0.09253523	4.75147600	0.78617130
-0.09240189	4.75147600	0.78617130
-0.09226855	4.75147600	0.78617130
-0.09213522	4.75147600	0.78617130
-0.09200188	4.75147600	0.78617130
-0.09186855	4.75147600	0.78617130
-0.09173521	4.75147600	0.78617130
-0.09160187	4.75147600	0.78617130
-0.09146854	4.75147600	0.87352360
-0.09133520	4.75147600	0.78617130
-0.09120187	4.75147600	0.87352360
-0.09106853	4.75147600	0.87352360
-0.09093519	4.75147600	0.87352360
-0.09080186	4.75147600	0.87352360
-0.09066852	4.75147600	0.87352360
-0.09053519	4.75147600	0.87352360
-0.09040185	4.83944400	0.87352360
-0.09026851	4.75147600	0.87352360
-0.09013518	4.75147600	0.78617130
-0.09000184	4.75147600	0.78617130
-0.08986851	4.75147600	0.78617130
-0.08973517	4.75147600	0.78617130
-0.08960183	4.75147600	0.78617130
-0.08946850	4.75147600	0.78617130
-0.08933516	4.75147600	0.78617130
-0.08920183	4.75147600	0.78617130
-0.08906849	4.75147600	0.78617130
-0.08893515	4.75147600	0.78617130
-0.08880182	4.75147600	0.87352360
-0.08866848	4.83944400	0.78617130
-0.08853515	4.75147600	0.87352360
-0.08840181	4.75147600	0.87352360
-0.08826847	4.75147600	0.87352360
-0.08813514	4.75147600	0.96087600
-0.08800180	4.75147600	0.96087600
-0.08786847	4.75147600	0.96087600
-0.08773513	4.75147600	0.96087600
-0.08760179	4.75147600	0.96087600
-0.08746846	4.75147600	0.96087600
-0.08733512	4.75147600	0.96087600
-0.08720179	4.75147600	0.96087600
-0.08706845	4.75147600	0.96087600
-0.08693511	4.83944400	0.87352360
-0.08680178	4.75147600	0.87352360
-0.08666844	4.75147600	0.87352360
-0.08653511	4.75147600	0.78617130
-0.08640177	4.75147600	0.78617130
-0.08626843	4.75147600	0.78617130
-0.08613510	4.75147600	0.78617130
-0.08600176	4.75147600	0.78617130
-0.08586843	4.75147600	0.78617130
-0.08573509	4.83944400	0.78617130
-0.08560175	4.83944400	0.78617130
-0.08546842	4.75147600	0.78617130
-0.08533508	4.75147600	0.78617130
-0.08520175	4.83944400	0.78617130
-0.08506841	4.75147600	0.87352360
-0.08493507	4.75147600	0.87352360
-0.08480174	4.75147600	0.87352360
-0.08466840	4.75147600	0.87352360
